date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2017%20May%202017%2004:11:19%20GMT	http://hukush-pakush.com/robots.txt		(from )
10:11:20	3215/3215	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:19%20GMT	http://hukush-pakush.com/	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/index.html	(from )
10:11:22	17286/17286	---MC-	200	added ('OK')	text/css	date:Tue,%2016%20May%202017%2020:51:50%20GMT	http://hukush-pakush.com/css/pure-min.css	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/css/pure-min.css	(from http://hukush-pakush.com/)
10:11:23	5297/5297	---MC-	200	added ('OK')	text/css	date:Fri,%2012%20May%202017%2007:06:29%20GMT	http://hukush-pakush.com/css/main-min.css?v=6	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/css/main-min1bce.css	(from http://hukush-pakush.com/)
10:11:23	4574/4574	---MC-	200	added ('OK')	text/css	date:Wed,%2017%20May%202017%2003:58:14%20GMT	http://hukush-pakush.com/css/night-min.css	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/css/night-min.css	(from http://hukush-pakush.com/)
10:11:23	997/997	---MC-	200	added ('OK')	text/css	date:Fri,%2012%20May%202017%2008:27:47%20GMT	http://hukush-pakush.com/css/codemirror-min.css	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/css/codemirror-min.css	(from http://hukush-pakush.com/)
10:11:25	3940/3940	---MC-	200	added ('OK')	application/javascript	date:Mon,%2015%20May%202017%2008:52:06%20GMT	http://hukush-pakush.com/js/python-min.js	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/js/python-min.js	(from http://hukush-pakush.com/)
10:11:27	39108/39108	---M--	200	added ('OK')	application/font-woff	etag:%22eb3NGQ%22	http://hukush-pakush.com/fonts/halum.woff	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/fonts/halum.woff	(from http://hukush-pakush.com/)
10:11:28	36926/36926	---M--	200	added ('OK')	application/javascript	etag:%22eb3NGQ%22	http://hukush-pakush.com/js/codemirror-min.js	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/js/codemirror-min.js	(from http://hukush-pakush.com/)
10:11:29	13603/13603	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:28%20GMT	http://hukush-pakush.com/chap1	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap1.html	(from http://hukush-pakush.com/)
10:11:30	15046/15046	---M--	200	added ('OK')	image/gif	etag:%22eb3NGQ%22	http://hukush-pakush.com/img/hukush_pakush2.gif	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/img/hukush_pakush2.gif	(from http://hukush-pakush.com/)
10:11:33	96104/96104	---MC-	200	added ('OK')	application/font-woff	etag:%22eb3NGQ%22	http://hukush-pakush.com/fonts/SolaimanLipi.woff	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/fonts/SolaimanLipi.woff	(from http://hukush-pakush.com/)
10:11:34	85925/85925	---MC-	200	added ('OK')	application/javascript	date:Thu,%2011%20May%202017%2009:16:52%20GMT	http://hukush-pakush.com/js/jquery.js	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/js/jquery.js	(from http://hukush-pakush.com/)
10:11:34	7508/7508	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:33%20GMT	http://hukush-pakush.com/chap2	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap2.html	(from http://hukush-pakush.com/chap1)
10:11:35	13780/13780	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:33%20GMT	http://hukush-pakush.com/chap3	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap3.html	(from http://hukush-pakush.com/chap1)
10:11:35	34479/34479	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:34%20GMT	http://hukush-pakush.com/chap4	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap4.html	(from http://hukush-pakush.com/chap1)
10:11:36	29857/29857	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:34%20GMT	http://hukush-pakush.com/chap5	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap5.html	(from http://hukush-pakush.com/chap1)
10:11:36	42050/42050	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:35%20GMT	http://hukush-pakush.com/chap6	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap6.html	(from http://hukush-pakush.com/chap1)
10:11:37	30363/30363	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:36%20GMT	http://hukush-pakush.com/chap7	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap7.html	(from http://hukush-pakush.com/chap1)
10:11:38	35648/35648	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:36%20GMT	http://hukush-pakush.com/chap8	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap8.html	(from http://hukush-pakush.com/chap1)
10:11:38	8074/8074	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20May%202017%2004:11:37%20GMT	http://hukush-pakush.com/chap9	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/chap9.html	(from http://hukush-pakush.com/chap1)
10:11:42	90835/90835	---MC-	200	added ('OK')	image/png	etag:%22eb3NGQ%22	http://hukush-pakush.com/img/python.png	C:/My%20Web%20Sites/Python%20Tutorial%20(Hakush%20Pakush)/hukush-pakush.com/img/python.png	(from http://hukush-pakush.com/chap3)
